label,area,perimeter,solidity,corners,area_size,size_normalized,corners_normalized,width,height,perfect_area,width_to_height_ratio,area_normalized
13,1287.8,23.03,0.9262552618490167,79.0,40.0,47.72125,0.49375,4.79,5.09,1600.0,0.9403973509933775,0.804875
14,1625.35,26.95,0.9086426039073697,91.0,40.0,60.229375,0.56875,7.79,4.32,1600.0,1.8046875,1.01584375
15,824.76,18.07,0.9389040359433202,63.0,40.0,30.5625,0.39375,5.46,2.93,1600.0,1.8620689655172413,0.515475
1,444.14,32.1,0.8202915706186531,115.0,40.0,16.458125,0.71875,5.45,2.02,1600.0,2.691666666666667,0.2775875
2,1475.14,24.01,0.9329770438641406,84.0,40.0,54.663125,0.525,5.9,5.03,1600.0,1.174496644295302,0.9219625
3,1317.69,29.41,0.933784332942892,109.0,40.0,48.82875,0.68125,4.94,4.94,1600.0,1.0,0.82355625
4,1053.77,19.83,0.9218443378827001,63.0,40.0,39.04875,0.39375,4.49,5.25,1600.0,0.8553054662379421,0.65860625
5,1045.55,21.41,0.9221694955595555,83.0,40.0,38.744375,0.51875,5.46,3.81,1600.0,1.4336283185840708,0.6534687499999999
6,1711.13,25.47,0.9570947443892038,65.0,40.0,63.408125,0.40625,5.57,5.77,1600.0,0.9649122807017544,1.06945625
7,1911.43,27.64,0.9408565996695807,115.0,40.0,70.830625,0.71875,7.15,5.18,1600.0,1.3811074918566775,1.19464375
8,1228.13,20.72,0.933036057507496,51.0,40.0,45.51,0.31875,4.84,4.98,1600.0,0.9728813559322034,0.7675812500000001
9,1168.74,21.76,0.895538783633591,78.0,40.0,43.309375,0.4875,5.7,4.23,1600.0,1.346613545816733,0.7304625
10,1359.67,27.25,0.8759072536833413,123.0,40.0,50.384375,0.76875,4.64,7.88,1600.0,0.588865096359743,0.84979375
11,2857.59,52.46,0.8132196735160147,241.0,40.0,105.891875,1.50625,6.88,13.49,1600.0,0.51,1.78599375
12,1214.47,22.87,0.9067623724971666,82.0,40.0,45.00375,0.5125,4.55,5.87,1600.0,0.7758620689655172,0.75904375
13,1822.34,25.45,0.9505322424562329,91.0,40.0,67.529375,0.56875,6.61,5.45,1600.0,1.2136222910216719,1.1389624999999999
14,362.05,15.8,0.8530440311556191,62.0,40.0,13.41625,0.3875,1.84,4.79,1600.0,0.38380281690140844,0.22628125000000002
15,1505.98,23.86,0.9346215039356892,84.0,40.0,55.80625,0.525,5.58,5.25,1600.0,1.0643086816720257,0.9412375000000001
16,1366.33,22.85,0.9470312481733906,85.0,40.0,50.63125,0.53125,5.5,5.18,1600.0,1.0618892508143323,0.85395625
17,1043.77,19.84,0.9262973551467617,65.0,40.0,38.678125,0.40625,4.49,5.09,1600.0,0.8807947019867549,0.65235625
1,58.56,9.73,0.7170590665014457,32.0,40.0,2.17,0.2,4.01,0.57,1600.0,7.0,0.0366
2,1340.19,26.2,0.9149423699149078,108.0,40.0,49.6625,0.675,5.57,5.65,1600.0,0.9850746268656716,0.8376187500000001
3,2.9,1.3,0.8390243902439024,0.0,40.0,0.1075,0.0,0.56,0.25,1600.0,2.2,0.0018124999999999999
4,9.58,3.48,0.6802395209580838,8.0,40.0,0.355,0.05,1.42,0.3,1600.0,4.666666666666667,0.0059875
5,788.73,17.95,0.9208230776804175,62.0,40.0,29.2275,0.3875,5.43,3.04,1600.0,1.788888888888889,0.49295625
6,953.19,26.89,0.9211898940505298,104.0,40.0,35.321875,0.65,5.06,3.73,1600.0,1.3574660633484164,0.59574375
7,1660.06,25.96,0.9399321969154372,95.0,40.0,61.515625,0.59375,6.86,5.28,1600.0,1.3003194888178913,1.0375375
8,1053.11,20.66,0.9333741927768476,73.0,40.0,39.024375,0.45625,4.49,4.47,1600.0,1.0037735849056604,0.6581937499999999
